ulke_kodu;sehir;olcum;min;max
FI;Turku;pressure;1008;1019
FI;Turku;temperature;-18;-7,5
FI;Turku;humidity;81;91
FI;Turku;pm25;2;105
FI;Turku;wind-speed;0,7;3,8
FI;Oulu;temperature;-18,8;-12,9
FI;Oulu;pressure;1016,1;1025,9
FI;Oulu;humidity;36,7;76,7
FI;Helsinki;temperature;-16,8;-7
FI;Helsinki;humidity;73;97,2
FI;Helsinki;pm25;8;77
FI;Helsinki;pressure;975,4;1019,4
FI;Helsinki;wind-speed;1;3
FI;Tampere;pm25;10;92
FI;Tampere;wind-speed;0,7;3,3
FI;Tampere;pressure;1008,5;1019
FI;Tampere;temperature;-18;-13
FI;Tampere;humidity;84;87,5
CZ;Prague;pm25;7;166
CZ;Prague;temperature;-0,1;5,5
CZ;Prague;humidity;79,1;98,6
CZ;Prague;pressure;963,3;1015,8
CZ;Prague;wind-speed;0,5;6,2
CZ;Ostrava;pm25;5;169
CZ;Ostrava;pressure;857,3;1017,7
CZ;Ostrava;precipitation;99;99
CZ;Ostrava;wind-speed;0,2;17
CZ;Ostrava;temperature;-1,4;8
CZ;Ostrava;humidity;49,5;99
CZ;Brno;temperature;-1,1;6,1
CZ;Brno;wind-speed;0,5;4
CZ;Brno;pm25;5;152
CZ;Brno;pressure;979;1017
CZ;Brno;humidity;53,6;93,8
CZ;Pilsen;precipitation;5,6;5,6
CZ;Pilsen;pm25;7;164
CZ;Pilsen;pressure;854,6;1014
CZ;Pilsen;wind-speed;0,3;38,5
CZ;Pilsen;temperature;-1,7;5
CZ;Pilsen;humidity;80;346,3
CZ;Olomouc;wind-speed;1;5
CZ;Olomouc;temperature;-1,2;4,4
CZ;Olomouc;pm25;45;152
CZ;Olomouc;pressure;946,9;1016
CZ;Olomouc;humidity;77,9;99
IE;Dublin;temperature;4,8;8,6
IE;Dublin;pressure;966,4;993,8
IE;Dublin;wind-speed;0,1;9,3
IE;Dublin;humidity;72,3;93
LT;Kaunas;temperature;0;3
LT;Kaunas;humidity;77;93
LT;Kaunas;pm25;5;87
LT;Kaunas;pressure;1007;1014
LT;Kaunas;wind-speed;0,5;5,4
TW;Taitung City;wind-speed;0,1;4,2
TW;Taitung City;pm25;5;63
TW;Taitung City;pressure;1015,2;1022
TW;Taitung City;temperature;17,3;24,8
TW;Taitung City;humidity;52;100
TW;Taichung;temperature;15,6;28,3
TW;Taichung;pm25;9;153
TW;Taichung;pressure;1014;1019,9
TW;Taichung;wind-speed;0,1;9,6
TW;Taichung;humidity;29;99
TW;Taoyuan City;pm25;25;154
TW;Taoyuan City;pressure;1013,5;1023
TW;Taoyuan City;wind-speed;0,3;11,8
TW;Taoyuan City;temperature;14,2;22,5
TW;Taoyuan City;humidity;63;100
TW;Taipei;humidity;48;100
TW;Taipei;pm25;9;154
TW;Taipei;temperature;8,9;24
TW;Taipei;pressure;1013,5;1029
TW;Taipei;wind-speed;0,1;9,2
TW;Hsinchu;wind-speed;0,3;11,8
TW;Hsinchu;temperature;13,8;24,8
TW;Hsinchu;humidity;51;100
TW;Hsinchu;pm25;17;153
TW;Hsinchu;pressure;1013,5;1022,4
TW;Keelung;temperature;16,3;24,4
TW;Keelung;pressure;1016,6;1024,7
TW;Keelung;wind-speed;0,2;7,4
TW;Keelung;pm25;13;153
TW;Keelung;humidity;60;97
TW;Tainan;humidity;39;100
TW;Tainan;pressure;1015;1018,9
TW;Tainan;pm25;57;161
TW;Tainan;temperature;17;28,3
TW;Tainan;wind-speed;0,4;6,6
TW;Douliu;pressure;1015;1019,9
TW;Douliu;temperature;16,9;29,2
TW;Douliu;humidity;36;99
TW;Douliu;pm25;46;155
TW;Douliu;wind-speed;0,2;6,7
TW;Kaohsiung;pm25;17;240
TW;Kaohsiung;wind-speed;0,1;4,2
TW;Kaohsiung;temperature;18,2;29,3
TW;Kaohsiung;humidity;37;100
TW;Kaohsiung;pressure;1014;1018,2
ZA;Middelburg;pressure;846,1;849,4
ZA;Middelburg;precipitation;0,1;9,9
ZA;Middelburg;wind-speed;0,1;4,5
ZA;Middelburg;pm25;1;156
ZA;Middelburg;temperature;13,8;27,2
ZA;Middelburg;humidity;43;100
ZA;Pretoria;pm25;1;182
ZA;Pretoria;temperature;14,4;29,3
ZA;Pretoria;wind-speed;0;6,8
ZA;Pretoria;humidity;27,6;169,1
ZA;Pretoria;pressure;846,8;1022
ZA;Johannesburg;precipitation;0,1;0,2
ZA;Johannesburg;temperature;14,2;26,6
ZA;Johannesburg;humidity;5,7;98,5
ZA;Johannesburg;pressure;819,4;1022,7
ZA;Johannesburg;wind-speed;0,1;4,9
ZA;Johannesburg;pm25;13;153
ZA;Bloemfontein;pressure;1016;1020
ZA;Bloemfontein;temperature;13,8;25
ZA;Bloemfontein;wind-speed;1,5;6,1
ZA;Bloemfontein;humidity;41;72
ZA;Bloemfontein;pm25;10;163
ZA;Vereeniging;temperature;14,7;29,1
ZA;Vereeniging;pm25;5;155
ZA;Vereeniging;precipitation;0;99,2
ZA;Vereeniging;humidity;0,5;100
ZA;Vereeniging;pressure;840,9;857,8
ZA;Vereeniging;wind-speed;0,1;20,7
ZA;Durban;temperature;20;30,2
ZA;Durban;wind-speed;0,5;9,2
ZA;Durban;humidity;66,6;94
ZA;Durban;pressure;999,4;1014
ZA;Klerksdorp;wind-speed;1;5,6
ZA;Klerksdorp;humidity;43,6;100,5
ZA;Klerksdorp;pm25;5;78
ZA;Klerksdorp;temperature;15,7;27,4
ZA;Klerksdorp;pressure;864,2;869,7
ZA;Klerksdorp;precipitation;0,1;99,2
ZA;Port Elizabeth;pressure;1002,8;1012,2
ZA;Port Elizabeth;temperature;18,8;25,8
ZA;Port Elizabeth;precipitation;0,1;4,5
ZA;Port Elizabeth;wind-speed;0,7;9,7
